Komoditas inflasi,,,,,,,,,,,,,
,Inflasi menurut Komoditas (Persen),,,,,,,,,,,,
,2024,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Umum,"-0,11","0,55","0,62","0,32","-0,21","-0,26","-0,13","-0,04","0,01","0,2","0,22","0,5",-
"I. Makanan, minuman dan tembakau","-0,56","1,99","2,08","0,16","-1,01","-1,18","-0,9","-0,66","-0,32","0,56","0,61","1,52",-
II. Pakaian dan Alas kaki,"0,14",0,"0,13","-0,11","0,11",0,"0,01","0,1",0,"0,14","0,04","0,01",-
"III. Perumahan, Air, Listrik dan Bahan Bakar Rumah Tangga","-0,02","-0,01","0,02","0,07","-0,13","-0,07","0,03",0,"0,57","0,35","-0,02","-0,05",-
"IV. Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga","0,12","0,22","0,07","0,09","0,13","0,06","0,11","0,1","0,02","0,43","-0,11","0,15",-
V. Kesehatan,"0,05","0,05","-0,08","0,08","0,12","-0,16","0,08","0,16","0,14","0,15","0,05","0,22",-
VI. Transportasi,"-0,17","0,09","-0,25","0,74","-0,12","0,09","0,04","0,34","-0,1","-0,78","0,12","0,56",-
"VII. Informasi, Komunikasi, dan Jasa Keuangan",0,"-0,08",0,"-0,24","-0,18","-0,1","-0,06","-0,18","-0,07","0,03","-0,22",-,-
"VIII. Rekreasi, Olahraga, dan Budaya","0,05","0,13","0,03","0,13","-0,22","0,03","0,16","-0,06","0,16",0,"-0,06","0,19",-
IX. Pendidikan,0,0,0,0,0,0,"0,24","0,59",0,0,0,-,-
X. Penyediaan Makanan dan Minuman/Restoran,"0,2","0,49","1,02","0,7","0,26","0,13","0,1","0,01","0,05","0,37","0,19","0,21",-
XI. Perawatan Pribadi dan Jasa Lainnya,"0,18",0,"0,67","1,87","0,6","0,39","0,62","0,37","0,24",1,"0,84","0,29",-