"Jumlah Sekolah, Guru, dan Murid di Sekolah Negeri dan Swasta Menurut Tahun Ajaran 2025/2026 di Kota Semarang",,,,,,,
Jenjang Pendidikan,Sekolah,Guru,Murid,,,,
TK,696,2.326,33.344,,,Rasio Sekolah -Murid,Rasio Guru -Murid
RA,141,597,9.625,,TK/RA,"47,91","14,34"
SD,513,7.217,124.968,,SD/MI,"243,60","17,32"
MI,93,1.099,19.469,,SMP/MTS,"333,19","16,47"
SMP,193,3.904,64.306,,SMA/SMK/MA,"442,66","16,44"
MTs,49,681,9.298,,,,
SMA,69,1.843,30.742,,,,
SMK,82,2.224,36.100,,,,
MA,33,593,6.842,,,,
,,,334.694,,,,
Sumber : ,,,,,,,
"1. Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi, Sistem Data Pokok Pendidikan, data semester ganjil",,,,,,,
https://pustakadata.semarangkota.go.id/publikasi/bps/e4acda942390244ca5c1d08b,,,,,,,