,,,,,PDRB Atas Dasar Harga Konstan (Milyar Rupiah) dan Pertumbuhan Ekonomi (Persen) Kabupaten/Kota di Jawa Tengah 6 maret 2026,,,,,
,,,,,No,Kabupaten/Kota,PDRB ADHK,Pertumbuhan Ekonomi,Kontribusi PDRB ,
,,,,,1,Kabupaten Cilacap,"104565,53","2,70","9,04",
,,,,,2,Kabupaten Banyumas,"47815,82","5,35","4,13",
,,,,,3,Kabupaten Purbalingga,"20417,23","4,57","1,76",
,,,,,4,Kabupaten Banjarnegara,"18059,43","5,15","1,56",
,,,,,5,Kabupaten Kebumen,"23847,86","5,38","2,06",
,,,,,6,Kabupaten Purworejo,"15753,02","4,84","1,36",
,,,,,7,Kabupaten Wonosobo,"16116,16","4,62","1,39",
,,,,,8,Kabupaten Magelang,"27538,45","5,08","2,38",
,,,,,9,Kabupaten Boyolali,"27562,18","4,69","2,38",
,,,,,10,Kabupaten Klaten,"33580,87","5,17","2,90",
,,,,,11,Kabupaten Sukoharjo,"32188,46","4,99","2,78",
,,,,,12,Kabupaten Wonogiri,"24739,08","4,97","2,14",
,,,,,13,Kabupaten Karanganyar,"31876,51","5,56","2,76",
,,,,,14,Kabupaten Sragen,"32091,21","5,43","2,77",
,,,,,15,Kabupaten Grobogan,"23600,98","5,45","2,04",
,,,,,16,Kabupaten Blora,"19778,45","3,10","1,71",
,,,,,17,Kabupaten Rembang,"16248,02","5,09","1,40",
,,,,,18,Kabupaten Pati,"36787,62","5,17","3,18",
,,,,,19,Kabupaten Kudus,"75045,07","2,83","6,49",
,,,,,20,Kabupaten Jepara,"25488,89","4,26","2,20",
,,,,,21,Kabupaten Demak,"21907,94","5,12","1,89",
,,,,,22,Kabupaten Semarang,"41548,39","4,78","3,59",
,,,,,23,Kabupaten Temanggung,"17852,53","5,02","1,54",
,,,,,24,Kabupaten Kendal,"37217,51","5,47","3,22",
,,,,,25,Kabupaten Batang,"18702,48","6,09","1,62",
,,,,,26,Kabupaten Pekalongan,"19291,18","5,08","1,67",
,,,,,27,Kabupaten Pemalang,"21788,37","5,18","1,88",
,,,,,28,Kabupaten Tegal,"29451,96","5,13","2,55",
,,,,,29,Kabupaten Brebes,"38563,2","5,08","3,33",
,,,,,30,Kota Magelang,"7671,43","5,60","0,66",
,,,,,31,Kota Surakarta,"42891,23","5,62","3,71",
,,,,,32,Kota Salatiga,"11509,89","5,41","0,99",
,,,,,33,Kota Semarang,"171014,75","5,68","14,78",
,,,,,34,Kota Pekalongan,"8930,31","5,35","0,77",
,,,,,35,Kota Tegal,"13125,22","5,27","1,13",
,,,,,Provinsi Jawa Tengah,,"1.156.998,88","4,95","100,00",
,,,,,,,,,,
,,,,,,,,,,"1.156.998,88"
,,,,,,,,,,
,,,,,II,Sektor PDRB Lapangan Usaha Tahun Dasar 2010,[Seri 2010] Distribusi PDRB Atas Dasar Harga Berlaku Menurut Lapangan Usaha (Persen)_2024 (Sektor Utama Terbesar),,,
,,,,,,"A. Pertanian, Kehutanan, dan Perikanan","0,75",,,
,,,,,,B. Pertambangan dan Penggalian,"0,15",,,
,,,,,,C. Industri Pengolahan,"28,39",,,
,,,,,,D. Pengadaan Listrik dan Gas,"0,09",,,
,,,,,,"E. Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang","0,07",,,
,,,,,,F. Konstruksi,"26,84",,,
,,,,,,G. Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,"12,96",,,
,,,,,,H. Transportasi dan Pergudangan,"4,61",,,
,,,,,,I. Penyediaan Akomodasi dan Makan Minum,"3,23",,,
,,,,,,J. Informasi dan Komunikasi,"8,73",,,
,,,,,,K. Jasa Keuangan dan Asuransi,"3,78",,,
,,,,,,L. Real Estate,"2,61",,,
,,,,,,"M, N. Jasa Perusahaan","0,72",,,
,,,,,,"O. Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib","2,65",,,
,,,,,,P. Jasa Pendidikan,"2,55",,,
,,,,,,Q. Jasa Kesehatan dan Kegiatan Sosial,"0,84",,,
,,,,,,"R,S,T,U. Jasa Lainnya","1,03",,,
,,,,,,PDRB,100,,,